personId,firstName,lastName,gamesPlayed,points,assists,reboundsTotal,blocks,steals,turnovers,fieldGoalsAttempted,fieldGoalsMade,threePointersAttempted,threePointersMade,freeThrowsAttempted,freeThrowsMade,guard,forward,center,trueShootingAttempts,ts,fantasyPoints,br_id
764,David,Robinson,683,23.644216691068813,2.937042459736457,11.226939970717424,3.2020497803806736,1.5109809663250366,2.7101024890190337,16.11420204978038,8.399707174231333,0.1420204978038067,0.0366032210834553,9.202049780380673,6.808199121522694,0,0,1,20.16310395314788,0.5863238305473663,58.32210834553441,
406,Shaquille,O'Neal,534,27.50374531835206,2.6779026217228465,12.387640449438202,2.689138576779026,0.7490636704119851,2.9101123595505616,19.11985018726592,11.04119850187266,0.0318352059925093,0.0018726591760299,10.146067415730338,5.419475655430712,0,0,1,23.584119850187268,0.5830988286411221,58.03464419475655,
165,Hakeem,Olajuwon,651,22.95545314900153,2.9278033794162828,10.944700460829493,3.187403993855607,1.683563748079877,3.067588325652842,17.937019969278033,9.193548387096774,0.1474654377880184,0.0353302611367127,6.0583717357910905,4.533026113671275,0,0,1,20.602703533026112,0.5570980796817264,57.11290322580645,
893,Michael,Jordan,503,30.339960238568587,4.864811133200795,6.246520874751491,0.7216699801192843,2.220675944333996,2.3697813121272366,23.2544731610338,11.546719681908549,2.262425447316103,0.805168986083499,7.79324055666004,6.441351888667992,1,0,0,26.68349900596421,0.5685154003188841,54.03677932405566,
252,Karl,Malone,785,26.656050955414013,3.778343949044586,10.56687898089172,0.8878980891719745,1.354140127388535,2.896815286624204,18.47515923566879,9.709554140127388,0.2445859872611465,0.0636942675159235,9.505732484076432,7.173248407643312,0,1,0,22.657681528662422,0.5882343019450947,51.3484076433121,
1495,Tim,Duncan,206,21.99514563106796,2.8106796116504853,11.970873786407768,2.412621359223301,0.8058252427184466,3.237864077669903,16.567961165048544,8.504854368932039,0.1359223300970873,0.0097087378640776,7.004854368932039,4.975728155339806,0,1,1,19.65009708737864,0.5596701515840233,50.56553398058252,
185,Chris,Webber,405,20.85679012345679,4.25925925925926,10.061728395061728,1.817283950617284,1.5209876543209877,2.9703703703703703,17.493827160493826,8.797530864197531,1.674074074074074,0.5209876543209877,4.669135802469135,2.740740740740741,0,1,1,19.548246913580247,0.533469579539828,49.75061728395062,
121,Patrick,Ewing,681,22.754772393538914,2.036710719530103,10.930983847283407,2.4302496328928047,0.908957415565345,3.067547723935389,17.94273127753304,8.86784140969163,0.1424375917767988,0.026431718061674,6.71806167400881,4.992657856093979,0,0,1,20.898678414096917,0.5444069702079821,49.428046989721,
787,Charles,Barkley,605,21.73884297520661,4.183471074380165,11.532231404958678,0.5933884297520661,1.4661157024793388,2.8,15.16694214876033,7.763636363636364,2.353719008264463,0.6611570247933884,7.614876033057851,5.550413223140496,0,1,0,18.517487603305785,0.5869814372476141,47.950413223140494,
297,Alonzo,Mourning,534,21.088014981273407,1.4700374531835203,10.071161048689138,3.119850187265917,0.6423220973782772,3.1816479400749063,14.187265917602996,7.464419475655431,0.1573033707865168,0.0393258426966292,8.601123595505618,6.119850187265918,0,0,1,17.97176029962547,0.5866986491499355,47.085205992509366,
